Genghis Khan	artistic:46,artistic:44,artistic:36,dashing:44,experienced:45,educated:45,respected:38,trusted:43,trusted:33,singing:43,accomplished:31,determined:42,acclaimed:33,temperamental:46,reigning:41,reigning:46,reigning:47,reigning:45,respected:48,celebrated:42,celebrated:44,leasing:31,celebrated:48,trusted:46,respected:42,respected:45,producing:36,leading:46,leading:47,leading:45,leading:28,leading:40,leading:41,playing:28,educated:36,magnificent:48,adored:38,singing:39,accomplished:45,singing:37,elected:35,trained:46,inspiring:46,playing:33,caged:39
George Bernard Shaw	writing:36,immovable:41,deceptive:40
George Clooney	trucking:31,artistic:36,artistic:40,celebrated:44,celebrated:45,celebrated:46,dashing:38,celebrated:48,loving:47,dashing:44,loving:41,producing:36,imprisoned:39,printed:28,loving:44,uncontested:40,credited:35,devoted:47,credited:44,commanding:41
George Costanza	unfriendly:43,trustworthy:47
George Foreman	beefy:41,successful:47,beefy:46,seasoned:40
George Harrison	artistic:42,singing:39,friendly:39,artistic:45,exalted:41,pulsating:37,artistic:48,famous:45,outsourcing:36,loved:47,inspired:39
George Orwell	syndicated:37,artistic:45,writing:44,writing:45,writing:40,questioning:33,thoughtful:47
George Soros	compassionate:44,privileged:37,privileged:44,privileged:45,privileged:43,privileged:41,organizing:35,enterprising:43,generous:38,enterprising:38,dealing:44,dealing:42,dealing:43,inspiring:45,calculating:35,smug:25,dealing:36,helpful:47,helpful:44,helpful:45
George W. Bush	lying:47,lying:46,lying:45,lying:44,lying:43,lying:42,lying:49,hardened:46,suspected:41,deranged:47,clumsy:28,adept:25,whining:46,horrifying:35,threatening:36,sinister:36,smiling:46,threatening:38,elected:41,unthreatening:28,inspiring:39,hot:35,devious:36,scared:33,qualified:40,scheming:43,glaring:41,serving:35,trading:42,voting:28,appealing:35,commanding:40,educated:36,dependable:31,ruthless:45,disgusting:43,loving:49,uneducated:39,loving:46,loving:47,convicted:45,practical:28,loving:42,inspiring:42,hated:41,cynical:36,inspiring:44,grinning:45,grinning:41,beautiful:44,grinning:43,smooth:44,menacing:45,menacing:47,hardened:38,leasing:35,artistic:35,questioning:33,annoying:35,inhuman:42,sweet:25,restrictive:42,smug:25,mindless:41,crazed:48,crazed:49,imposed:37,foolish:45,convicted:43,crazed:40,thundering:44,deranged:43,arrogant:44,crazed:44,crazed:45,crazed:46,crazed:47,running:36,convicted:39,dumb:40,fighting:47,fighting:46,inspired:44,fighting:43,fighting:41,honored:35,inspired:39,disgusting:40,acknowledged:43,uneducated:28,vicious:47,devoted:35,respected:41,crazed:39,crazed:37,crazed:36,interconnected:31,threatening:45,threatening:44,threatening:47,threatening:46,threatening:41,threatening:40,threatening:43,threatening:42,raving:31,threatening:48,challenging:39,impotent:25,crusading:33,dimwitted:33,duplicitous:28,selling:31,screaming:41,screaming:40,beginning:25,educated:44,educated:45,ruthless:46,educated:40,ruthless:43,inspired:42,ruthless:48,playing:39,committed:45,bumbling:36,happy:41,trained:35,devoted:39,determined:42,bumbling:37,bumbling:38,raging:45,coached:31,entertaining:42,accountable:25,excited:38,screaming:38,celebrated:35,trusted:48,trusted:47,trusted:46,raging:42,trusted:43,committed:38,annoying:42,respected:46,twisted:42,twisted:41,twisted:45,incapable:46,stinky:31,humming:35,irritating:42,commanding:41,playing:44,arrogant:41,bumbling:43,bumbling:41,bumbling:47,bumbling:46,bumbling:45,foolish:36,playing:37,raving:40,committed:42,raving:43,raving:44,raving:45,raving:46,entertaining:43,ordained:44,devastating:33,practical:31,acknowledged:36,accused:38,trading:36,trusted:39,mellow:25,brainwashed:42,trusted:33,brainwashed:40,identified:38,trusted:36,accused:37,vicious:37,devoted:41,ruthless:35,burning:42,ruling:48,frightened:41,commanding:38,identifiable:36,ruling:45,ruling:42,ruling:43,ruling:40,ruling:41,damaging:47,committed:39,devoted:42,bumbling:33,blessed:44,branded:36,menacing:37,devoted:44,mindless:44,advising:42,raving:37,celebrated:43,alarming:42,celebrated:45,cherished:44,celebrated:48,respected:45,trading:25,distinguished:38,trusted:41,primitive:28,playing:36,irrepressible:40,elected:38,annoying:40,commanding:28,stinky:39,elected:37,elected:35,crushing:41,obsessed:47,disgusting:44,disgusting:45,devoted:45,scared:46,devoted:47,crazed:41,devoted:48,amended:41,crazed:42
George Washington	leading:41,lordly:28,educated:40,inspired:43,inspired:42,inspired:44,self_reliant:42,determined:47,trusted:42,fighting:43,respected:48,entertaining:38,respected:45,respected:44,respected:47,respected:46,transplanted:40,commissioned:40,certified:42,concerned:36,commanding:41,hardened:39,loving:47,loving:43
Gerard Manley Hopkins	artistic:40,riding:28,artistic:44,selling:31,generous:38,charming:42,playing:33,daring:46,playing:39,inspired:44,accomplished:35,devoted:39,determined:43,determined:46,gifted:43,selling:41,fighting:41,published:40,celebrated:44,celebrated:45,celebrated:46,celebrated:47,celebrated:48,supervising:44,supervising:43,respected:46,advertising:28,serious:42,promising:40,sophisticated:44,hardened:39,gifted:35,commanding:28,acclaimed:40
Glenn Beck	unfriendly:46,courteous:42
Gloria Steinem	revered:38,writing:44,campaigning:47,campaigning:44,campaigning:45,campaigning:43,publishing:28
Mikhail Gorbachev	presidential:45,campaigning:42,trusted:33,reigning:41,reigning:47,reigning:45
Gordon Ramsay	expert:37
Grace Kelly	spoiled:46,spoiled:48,stunning:44
Greta Garbo	spoiled:45,spoiled:46,spoiled:48
Groucho Marx	entertaining:43,entertaining:42,celebrated:45,systematizing:33,celebrated:47
Gwyneth Paltrow	spoiled:46,celebrated:45,appealing:44,loving:47,dashing:45,questioning:33,printed:28,loved:48,demonstrating:31,contested:36
H.P. Lovecraft	learned:44
Han Solo	dashing:48,lying:44,cherished:47,dashing:40,dashing:41,dashing:45,dashing:46,dashing:47,dashing:38,charming:45
Jabba the Hutt	godly:43
Hannibal Lecter	treating:42,treating:46,deranged:44,deranged:47,deranged:46
Harry Houdini	accomplished:43,opinionated:44,accomplished:47,accomplished:33,trustworthy:47
